line,scenario-3,group,area,notes,description,,,
1,,Local,,Rossmoor/Shadelands,"Rossmoor Shopping Center, Walnut Creek BART, Ygnacio Valley Rd, John Muir Medical Center, Shadelands",,,
4,reduced,Local,,Broadway Plaza/BART Walnut Creek,"Walnut Creek BART, Broadway Plaza",,,
5,reduced,Local,,Creekside/BART Walnut Creek,"Walnut Creek BART, Kaiser Permanente Medical Center, Creekside Dr",,,
6,reduced,Local,,Lafayette/Moraga/Orinda,"Lafayette BART, Saint Mary's College, Moraga, Orinda BART",,,
7,reduced,Local,,Shadelands/BART PH,"Mitchell Park 'n Ride, Shadelands, Treat Blvd, Pleasant Hill BART",,,
9,,Local,,DVC/BART Walnut Creek,"DVC , Sun Valley Mall, JFK University, Crescent Plaza, Pleasant Hill BART, North Main, Walnut Creek BART",,,
10,reduced,Local,,BART Concord/Clayton,"Concord BART, Clayton Rd, Downtown Clayton",,,
11,,Local,,BART Concord/BART Pleas Hill,"Pleasant Hill BART, Treat Blvd, Oak Grove Rd, Concord BART",,,
14,,Local,,Monument Blvd,"Walnut Creek BART, Pleasant Hill BART, Monument Blvd, Concord BART",,,
15,reduced,Local,,Treat Blvd,"Concord BART, Treat Blvd, Pleasant Hill BART",,,
16,,Local,,AMTRAK/BART Concord,"Martinez Amtrak, Contra Costa Regional Medical Center, Alhambra Ave, Gregory Ln, Monument Blvd, Concord BART",,,
17,reduced,Local,,BART Concord/North Concord,"Concord BART, John Muir Medical Center-Concord, Solano Way, Olivera Rd, North Concord BART",,,
18,,Local,,AMTRAK/BART Pleasant Hill,"Martinez Amtrak, Morello Ave, DVC, Gregory Lane, Pleasant Hill BART",,,
19,,Local,,AMTRAK/BART Concord,"Martinez Amtrak, Pacheco Blvd, Concord BART",,,
20,reduced,Local,,DVC/BART Concord,"Concord BART, Willow Pass Rd, Sun Valley Mall, DVC",,,
21,,Local,,BART Walnut Creek/San Ramon,"Walnut Creek BART, Alamo, Danville Blvd, Danville Park 'n Ride, San Ramon Transit Center",,,
27,reduced,Local,,North Concord/Martinez BART/Mason Circle,"North Concord BART, Arnold Industrial Way, Mason Circle",,,
28,modified,Local,,Martinez Amtrak/DVC/Concord BART,"Martinez Amtrak, VA Clinic, DVC, Concord BART",,,
35,reduced,Local,,BART Dublin/San Ramon,"San Ramon Transit Center, Crow Canyon Rd, Bollinger Canyon Rd, Dougherty Rd, Dublin/Pleasanton BART",,,
91X,eliminated,Express,,Concord Commuter Express,"Concord BART, Airport Plaza, UFCW",,,
92X,eliminated,Express,,ACE Express,"Pleasanton Train Station (ACE) , Bishop Ranch, San Ramon Transit Center",,,
93X,eliminated,Express,,Kirker Pass Express,"Antioch BART, John Muir Medical Center, Walnut Creek BART",,,
95X,eliminated,Express,,San Ramon/BART Walnut Creek,"San Ramon Transit Center, Bishop Ranch, Danville Park 'n Ride, Walnut Creek BART",,,
96X,eliminated,Express,,BART Walnut Creek/Bishop Ranch,"Walnut Creek BART, Bishop Ranch, San Ramon Transit Center",,,
97X,eliminated,Express,,BART Dublin/Bishop Ranch,"Dublin/Pleasanton BART, Bishop Ranch, San Ramon Transit Center",,,
98X,reduced,Express,,Martinez/BART Walnut Creek,"Martinez Amtrak, Walnut Creek BART",,,
99X,reduced,Express,,Martinez Amtrak/North Concord BART,"Martinez Amtrak, Pacheco Transit Center, North Concord BART",,,
4,,Weekend,,Broadway Plaza/BART Walnut Creek,"Walnut Creek BART, Broadway Plaza",,,
6,,Weekend,,Lafayette/Moraga/Orinda,"Lafayette BART, Saint Mary's College, Moraga, Orinda BART",,,
310,,Weekend,,BART Concord/Clayton,"Concord BART, Clayton Rd, Downtown Clayton",,,
311,,Weekend,,BART Concord/BART PH/BART WC,"Concord BART, Oak Grove Rd, Treat Blvd, Pleasant Hill BART, Walnut Creek BART",,,
314,,Weekend,,BART Concord/Monument Blvd/DVC,"DVC, Monument Blvd, Concord BART, Clayton Rd",,,
315,eliminated,Weekend,,BART Concord/Landana,"Concord BART, Willow Pass, Landana, Treat Blvd",,,
316,,Weekend,,Martinez AMTRAK/BART Pleasant Hill,"Martinez Amtrak, Morello, Arnold, Muir, DVC, Buskirk, Pleasant Hill BART",,,
320,,Weekend,,DVC/BART Concord,"DVC, Diamond, Clayton, Concord BART",,,
321,,Weekend,,BART Walnut Creek/San Ramon,"San Ramon Transit Center, San Ramon Valley Blvd, Danville Blvd, Walnut Creek BART, John Muir Medical Center",,,
335,,Weekend,,BART Dublin / San Ramon,"San Ramon Transit Center, Bollinger Canyon Rd, Dougherty Rd, Dublin/Pleasanton BART",,,
GSR,,Special,,Go San Ramon,"San Ramon Transit Center, West Dublin BART, Dublin/Pleasanton BART",,,
AC,,Special,,Alamo Creek Shuttle,"Alamo Creek, Walnut Creek BART",,,
712,,Special,,Bay Point BART to T L Berkley Way (20th St),"Bay Point BART, Pleasant Hill BART, 19th St/Oakland BART",,,
715,,Special,,North Concord Martinez BART to Pleasant Hill BART,"North Concord BART, Concord BART, Pleasant Hill BART",,,
